city,weather_condition,occurrences,avg_delay,total_trips
Bangalore,Clear,135,1.0,2689
Bangalore,Heavy Rain,325,3.01,6348
Bangalore,Light Rain,550,1.25,10705
Bangalore,Moderate Rain,815,1.53,15862
Chennai,Clear,115,1.15,2323
Chennai,Heavy Rain,315,2.99,6158
Chennai,High Humidity,5,3.11,72
Chennai,Light Rain,575,1.26,11260
Chennai,Moderate Rain,815,1.53,15876
Delhi,Clear,105,0.5,2063
Delhi,Heavy Rain,310,1.51,5976
Delhi,Light Rain,560,0.61,10976
Delhi,Moderate Rain,850,0.78,16484
Kolkata,Clear,135,0.5,2588
Kolkata,Heavy Rain,270,1.51,5362
Kolkata,High Humidity,15,1.38,274
Kolkata,Light Rain,525,0.63,10142
Kolkata,Moderate Rain,880,0.79,17344
Mumbai,Clear,150,0.57,2763
Mumbai,Heavy Rain,295,1.5,5917
Mumbai,Light Rain,600,0.57,11720
Mumbai,Moderate Rain,780,0.83,15297
