route_id,city,records,avg_delay,max_delay,total_trips,days_tracked
CHE2,Chennai,365,1.7,3.83,7094,365
BAN1,Bangalore,365,1.68,4.33,7206,365
BAN4,Bangalore,365,1.68,4.26,7109,365
BAN5,Bangalore,365,1.68,4.27,7196,365
CHE1,Chennai,365,1.68,4.07,7182,365
CHE5,Chennai,365,1.68,4.08,7089,365
CHE3,Chennai,365,1.67,3.84,7105,365
BAN2,Bangalore,365,1.66,4.02,6960,365
BAN3,Bangalore,365,1.65,4.27,7133,365
CHE4,Chennai,365,1.65,4.0,7219,365
DEL5,Delhi,365,0.84,1.94,7078,365
MUM3,Mumbai,365,0.84,2.12,7161,365
KOL3,Kolkata,365,0.84,2.04,7209,365
KOL2,Kolkata,365,0.84,2.2,7190,365
DEL3,Delhi,365,0.84,2.05,7287,365
DEL1,Delhi,365,0.84,2.19,7062,365
KOL1,Kolkata,365,0.83,2.04,7084,365
KOL4,Kolkata,365,0.83,2.23,7068,365
KOL5,Kolkata,365,0.83,2.01,7159,365
MUM1,Mumbai,365,0.83,2.04,7068,365
MUM4,Mumbai,365,0.83,2.14,7143,365
MUM5,Mumbai,365,0.83,1.89,7098,365
DEL4,Delhi,365,0.82,2.0,7015,365
DEL2,Delhi,365,0.82,2.04,7057,365
MUM2,Mumbai,365,0.82,1.86,7227,365
