date,records,avg_delay,avg_temp,avg_humidity,total_trips
2023-01-01,25,0.73,27.4,52.66,570
2023-01-02,25,0.72,30.43,59.28,414
2023-01-03,25,0.7,28.64,54.31,441
2023-01-04,25,0.69,28.5,59.09,443
2023-01-05,25,0.7,26.66,63.24,466
2023-01-06,25,0.73,28.82,62.54,479
2023-01-07,25,0.68,29.04,58.69,480
2023-01-08,25,0.71,26.0,61.34,504
2023-01-09,25,0.7,25.92,61.37,553
2023-01-10,25,0.69,28.99,54.07,449
2023-01-11,25,0.7,27.79,56.01,486
2023-01-12,25,0.72,29.61,51.82,508
2023-01-13,25,0.69,28.4,55.81,440
2023-01-14,25,0.71,27.94,52.64,497
2023-01-15,25,0.68,27.28,52.25,477
2023-01-16,25,0.67,27.45,52.5,528
2023-01-17,25,0.72,27.1,58.42,508
2023-01-18,25,0.69,28.12,55.5,515
2023-01-19,25,0.7,26.38,60.84,477
2023-01-20,25,0.69,31.78,68.4,464
2023-01-21,25,0.72,28.51,68.3,493
2023-01-22,25,0.69,27.11,58.14,501
2023-01-23,25,0.73,28.59,55.99,484
2023-01-24,25,0.68,27.66,58.66,492
2023-01-25,25,0.71,31.51,63.43,516
2023-01-26,25,0.69,28.28,50.28,482
2023-01-27,25,0.73,29.36,50.4,539
2023-01-28,25,0.73,28.23,62.3,506
2023-01-29,25,0.69,24.26,56.28,504
2023-01-30,25,0.7,26.54,62.08,519
2023-01-31,25,0.72,27.44,60.07,504
2023-02-01,25,0.68,28.35,52.92,531
2023-02-02,25,0.71,27.85,49.93,511
2023-02-03,25,0.73,28.01,55.58,497
2023-02-04,25,0.69,27.54,54.36,475
2023-02-05,25,0.67,27.26,58.09,494
2023-02-06,25,0.7,26.54,52.99,504
2023-02-07,25,0.71,28.53,59.53,491
2023-02-08,25,0.73,27.06,63.51,477
2023-02-09,25,0.7,26.72,63.7,511
2023-02-10,25,0.67,27.22,52.73,483
2023-02-11,25,0.72,27.12,56.29,459
2023-02-12,25,0.71,27.33,63.84,495
2023-02-13,25,0.71,28.62,57.88,480
2023-02-14,25,0.67,30.1,53.71,470
2023-02-15,25,0.73,27.65,62.27,431
2023-02-16,25,0.69,27.51,57.88,502
2023-02-17,25,0.68,26.51,49.78,458
2023-02-18,25,0.69,28.24,53.49,502
2023-02-19,25,0.69,27.37,60.04,520
2023-02-20,25,0.71,30.01,52.09,492
2023-02-21,25,0.68,29.77,53.72,508
2023-02-22,25,0.69,26.78,48.87,502
2023-02-23,25,0.7,27.79,61.32,504
2023-02-24,25,0.71,26.77,54.01,442
2023-02-25,25,0.72,28.12,54.13,460
2023-02-26,25,0.71,28.08,61.04,522
2023-02-27,25,0.74,26.38,54.25,453
2023-02-28,25,0.7,29.03,49.65,499
2023-03-01,25,0.69,25.51,58.77,494
2023-03-02,25,0.71,30.11,62.54,467
2023-03-03,25,0.69,26.6,52.48,499
2023-03-04,25,0.66,28.75,61.5,508
2023-03-05,25,0.69,25.02,58.98,438
2023-03-06,25,0.74,27.26,56.17,428
2023-03-07,25,0.72,27.72,70.2,474
2023-03-08,25,0.69,28.81,58.79,479
2023-03-09,25,0.7,26.81,62.96,427
2023-03-10,25,0.73,27.68,53.7,489
2023-03-11,25,0.69,27.85,64.22,454
2023-03-12,25,0.7,26.75,49.6,522
2023-03-13,25,0.7,27.89,60.51,477
2023-03-14,25,0.72,28.06,64.91,521
2023-03-15,25,0.71,26.99,60.85,475
2023-03-16,25,0.69,29.07,54.67,471
2023-03-17,25,0.66,28.32,60.89,483
2023-03-18,25,0.67,25.91,55.84,469
2023-03-19,25,0.72,26.14,62.89,412
2023-03-20,25,0.73,26.8,64.49,523
2023-03-21,25,0.7,27.84,59.51,489
2023-03-22,25,0.71,27.41,51.34,488
2023-03-23,25,0.7,27.93,59.66,499
2023-03-24,25,0.67,26.89,57.94,492
