month,records,avg_delay,avg_temp,avg_humidity,total_trips
2023-01-01,775,0.7,28.06,57.96,15239
2023-02-01,700,0.7,27.79,55.99,13673
2023-03-01,775,0.7,27.65,58.41,14759
2023-04-01,750,0.7,27.73,58.37,14798
2023-05-01,775,0.7,27.49,58.24,15509
2023-06-01,750,2.09,27.09,82.92,14757
2023-07-01,775,2.1,27.62,83.19,15184
2023-08-01,775,2.11,27.54,82.94,14842
2023-09-01,750,2.1,27.73,81.88,14851
2023-10-01,775,0.7,27.83,57.65,14874
2023-11-01,750,0.7,27.72,57.37,14515
2023-12-01,775,0.7,27.15,57.59,15198
