weather_condition,route_id,city,avg_delay,occurrences
Clear,CHE4,Chennai,1.2,23
Clear,CHE2,Chennai,1.16,23
Clear,CHE1,Chennai,1.15,23
Clear,CHE3,Chennai,1.15,23
Clear,CHE5,Chennai,1.09,23
Clear,BAN4,Bangalore,1.04,27
Clear,BAN5,Bangalore,1.03,27
Clear,BAN2,Bangalore,0.99,27
Clear,BAN3,Bangalore,0.98,27
Clear,BAN1,Bangalore,0.97,27
Clear,MUM2,Mumbai,0.58,30
Clear,MUM3,Mumbai,0.58,30
Clear,MUM5,Mumbai,0.57,30
Clear,MUM1,Mumbai,0.56,30
Clear,MUM4,Mumbai,0.56,30
Clear,DEL3,Delhi,0.53,21
Clear,KOL3,Kolkata,0.52,27
Clear,DEL5,Delhi,0.51,21
Clear,KOL5,Kolkata,0.51,27
Clear,DEL2,Delhi,0.5,21
Clear,KOL1,Kolkata,0.5,27
Clear,KOL2,Kolkata,0.5,27
Clear,KOL4,Kolkata,0.49,27
Clear,DEL4,Delhi,0.48,21
Clear,DEL1,Delhi,0.47,21
Heavy Rain,BAN1,Bangalore,3.09,65
Heavy Rain,CHE2,Chennai,3.08,63
Heavy Rain,BAN5,Bangalore,3.03,65
Heavy Rain,CHE5,Chennai,3.01,63
Heavy Rain,BAN4,Bangalore,2.99,65
Heavy Rain,CHE1,Chennai,2.99,63
Heavy Rain,CHE3,Chennai,2.98,63
Heavy Rain,BAN2,Bangalore,2.96,65
Heavy Rain,BAN3,Bangalore,2.96,65
Heavy Rain,CHE4,Chennai,2.9,63
Heavy Rain,KOL1,Kolkata,1.55,54
Heavy Rain,DEL3,Delhi,1.54,62
Heavy Rain,KOL2,Kolkata,1.54,54
Heavy Rain,MUM3,Mumbai,1.53,59
Heavy Rain,MUM5,Mumbai,1.52,59
Heavy Rain,DEL1,Delhi,1.51,62
Heavy Rain,KOL3,Kolkata,1.51,54
Heavy Rain,DEL4,Delhi,1.5,62
Heavy Rain,DEL5,Delhi,1.5,62
Heavy Rain,MUM4,Mumbai,1.5,59
Heavy Rain,DEL2,Delhi,1.49,62
Heavy Rain,KOL4,Kolkata,1.48,54
Heavy Rain,MUM1,Mumbai,1.48,59
Heavy Rain,KOL5,Kolkata,1.47,54
Heavy Rain,MUM2,Mumbai,1.46,59
High Humidity,KOL2,Kolkata,1.46,3
High Humidity,KOL3,Kolkata,1.4,3
High Humidity,KOL5,Kolkata,1.37,3
High Humidity,KOL4,Kolkata,1.36,3
High Humidity,KOL1,Kolkata,1.31,3
Light Rain,BAN3,Bangalore,1.27,110
Light Rain,CHE5,Chennai,1.27,115
Light Rain,BAN2,Bangalore,1.26,110
Light Rain,CHE3,Chennai,1.26,115
Light Rain,BAN5,Bangalore,1.25,110
Light Rain,CHE1,Chennai,1.25,115
Light Rain,CHE2,Chennai,1.25,115
Light Rain,CHE4,Chennai,1.25,115
Light Rain,BAN1,Bangalore,1.24,110
Light Rain,BAN4,Bangalore,1.24,110
Light Rain,KOL2,Kolkata,0.65,105
Light Rain,DEL1,Delhi,0.63,112
Light Rain,KOL1,Kolkata,0.63,105
Light Rain,KOL5,Kolkata,0.63,105
Light Rain,KOL4,Kolkata,0.62,105
Light Rain,DEL3,Delhi,0.61,112
Light Rain,DEL5,Delhi,0.61,112
Light Rain,KOL3,Kolkata,0.61,105
Light Rain,DEL2,Delhi,0.6,112
Light Rain,DEL4,Delhi,0.6,112
Light Rain,MUM1,Mumbai,0.57,120
Light Rain,MUM3,Mumbai,0.57,120
Light Rain,MUM4,Mumbai,0.57,120
Light Rain,MUM5,Mumbai,0.57,120
Light Rain,MUM2,Mumbai,0.55,120
Moderate Rain,BAN4,Bangalore,1.56,163
Moderate Rain,BAN5,Bangalore,1.55,163
Moderate Rain,CHE1,Chennai,1.55,163
Moderate Rain,CHE2,Chennai,1.54,163
Moderate Rain,BAN1,Bangalore,1.53,163
Moderate Rain,CHE5,Chennai,1.53,163
Moderate Rain,BAN2,Bangalore,1.52,163
Moderate Rain,CHE3,Chennai,1.52,163
Moderate Rain,BAN3,Bangalore,1.5,163
Moderate Rain,CHE4,Chennai,1.5,163
Moderate Rain,MUM1,Mumbai,0.83,156
Moderate Rain,MUM2,Mumbai,0.83,156
Moderate Rain,MUM4,Mumbai,0.83,156
Moderate Rain,MUM3,Mumbai,0.82,156
Moderate Rain,MUM5,Mumbai,0.82,156
Moderate Rain,KOL4,Kolkata,0.81,176
Moderate Rain,KOL3,Kolkata,0.8,176
Moderate Rain,DEL5,Delhi,0.79,170
Moderate Rain,DEL1,Delhi,0.78,170
Moderate Rain,KOL2,Kolkata,0.78,176
Moderate Rain,KOL5,Kolkata,0.78,176
Moderate Rain,DEL2,Delhi,0.77,170
Moderate Rain,DEL3,Delhi,0.77,170
Moderate Rain,DEL4,Delhi,0.77,170
Moderate Rain,KOL1,Kolkata,0.77,176
