date,city,precipitation,avg_temp,temp_max,temp_min,humidity,wind_speed,weather_condition,season
2023-01-01,Delhi,0.0,16.4,18.6,13.7,57.4,19.0,Clear,Winter
2023-01-02,Delhi,0.0,16.8,21.6,14.4,58.4,14.8,Clear,Winter
2023-01-03,Delhi,0.0,14.6,18.6,9.6,64.8,9.3,Clear,Winter
2023-01-04,Delhi,0.0,17.1,20.9,12.4,50.3,8.5,Clear,Winter
2023-01-05,Delhi,0.0,11.2,14.8,6.7,65.9,15.1,Clear,Winter
2023-01-06,Delhi,0.0,13.4,15.4,9.8,61.7,14.7,Clear,Winter
2023-01-07,Delhi,0.0,17.7,22.0,15.2,52.0,7.0,Clear,Winter
2023-01-08,Delhi,0.0,15.3,18.6,11.5,56.3,16.1,Clear,Winter
2023-01-09,Delhi,0.0,12.6,16.6,9.5,58.7,16.4,Clear,Winter
2023-01-10,Delhi,0.0,15.8,18.4,12.3,53.8,5.5,Clear,Winter
2023-01-11,Delhi,0.0,18.0,21.9,13.2,54.5,12.1,Clear,Winter
2023-01-12,Delhi,0.0,10.6,12.8,6.1,59.8,14.9,Clear,Winter
2023-01-13,Delhi,0.0,12.4,15.2,8.2,54.4,15.6,Clear,Winter
2023-01-14,Delhi,0.0,11.8,16.0,9.2,54.5,16.7,Clear,Winter
2023-01-15,Delhi,0.0,19.7,22.5,17.0,51.5,10.4,Clear,Winter
2023-01-16,Delhi,0.0,15.1,19.1,13.0,54.4,6.7,Clear,Winter
2023-01-17,Delhi,0.0,18.9,21.0,14.3,58.0,9.6,Clear,Winter
2023-01-18,Delhi,0.0,19.7,21.9,15.3,59.0,13.4,Clear,Winter
2023-01-19,Delhi,0.0,19.4,23.2,15.4,55.1,6.5,Clear,Winter
2023-01-20,Delhi,0.0,16.8,19.1,12.3,60.7,6.1,Clear,Winter
2023-01-21,Delhi,0.0,12.3,15.7,7.6,54.4,6.4,Clear,Winter
2023-01-22,Delhi,0.0,10.0,13.5,7.3,61.1,8.1,Clear,Winter
2023-01-23,Delhi,0.0,10.3,14.3,7.5,60.8,11.0,Clear,Winter
2023-01-24,Delhi,0.0,15.7,18.0,12.5,61.4,18.0,Clear,Winter
2023-01-25,Delhi,0.0,14.2,17.8,11.4,62.8,7.8,Clear,Winter
2023-01-26,Delhi,0.0,14.5,18.5,11.4,52.2,16.7,Clear,Winter
2023-01-27,Delhi,0.0,16.1,20.7,11.5,64.7,7.4,Clear,Winter
2023-01-28,Delhi,0.0,11.5,14.5,8.5,55.5,18.4,Clear,Winter
2023-01-29,Delhi,0.2,15.6,18.2,12.5,54.5,5.5,Clear,Winter
2023-01-30,Delhi,0.0,13.1,17.0,9.8,53.6,16.9,Clear,Winter
2023-01-31,Delhi,0.0,19.6,23.4,15.7,68.1,11.6,Clear,Winter
2023-02-01,Delhi,0.0,17.1,21.2,13.2,53.9,10.3,Clear,Winter
2023-02-02,Delhi,0.0,16.7,20.0,13.7,50.8,7.4,Clear,Winter
2023-02-03,Delhi,0.0,10.6,15.6,6.9,68.4,5.9,Clear,Winter
2023-02-04,Delhi,0.0,16.1,19.0,13.2,53.4,19.9,Clear,Winter
2023-02-05,Delhi,0.0,15.2,18.8,11.3,50.2,17.7,Clear,Winter
2023-02-06,Delhi,0.0,16.3,20.9,14.1,61.4,15.7,Clear,Winter
2023-02-07,Delhi,0.0,19.4,24.2,15.6,58.9,15.0,Clear,Winter
2023-02-08,Delhi,0.0,10.4,14.9,6.7,69.1,10.5,Clear,Winter
2023-02-09,Delhi,0.0,18.8,21.9,16.8,53.7,14.1,Clear,Winter
2023-02-10,Delhi,0.0,14.6,19.0,11.3,62.2,12.1,Clear,Winter
2023-02-11,Delhi,0.0,17.5,20.4,13.9,57.0,14.4,Clear,Winter
2023-02-12,Delhi,0.0,11.0,13.6,7.3,65.4,16.6,Clear,Winter
2023-02-13,Delhi,0.0,13.8,17.6,9.8,67.4,15.3,Clear,Winter
2023-02-14,Delhi,0.0,14.1,18.5,10.6,60.4,7.4,Clear,Winter
2023-02-15,Delhi,0.0,17.3,20.1,15.3,64.4,17.6,Clear,Winter
2023-02-16,Delhi,0.0,15.5,18.2,11.9,55.8,16.5,Clear,Winter
2023-02-17,Delhi,0.0,14.1,18.4,10.3,62.9,16.9,Clear,Winter
2023-02-18,Delhi,0.0,14.0,16.2,11.7,57.0,16.2,Clear,Winter
2023-02-19,Delhi,0.0,12.1,16.3,7.5,59.3,14.7,Clear,Winter
2023-02-20,Delhi,0.0,13.4,17.2,11.2,59.2,19.9,Clear,Winter
2023-02-21,Delhi,0.0,15.0,19.3,10.1,57.3,13.3,Clear,Winter
2023-02-22,Delhi,0.0,14.8,17.0,11.7,53.6,15.8,Clear,Winter
2023-02-23,Delhi,0.0,15.0,19.2,12.6,61.6,15.0,Clear,Winter
2023-02-24,Delhi,0.0,15.0,19.4,11.6,60.4,15.0,Clear,Winter
2023-02-25,Delhi,0.0,15.7,19.6,13.1,62.6,6.6,Clear,Winter
2023-02-26,Delhi,0.0,13.9,18.6,9.6,60.4,5.9,Clear,Winter
2023-02-27,Delhi,0.0,19.9,24.1,15.4,61.0,10.2,Clear,Winter
2023-02-28,Delhi,0.0,11.9,14.5,8.2,66.8,9.1,Clear,Winter
2023-03-01,Delhi,0.0,44.2,47.8,41.7,48.1,9.3,Extreme Heat,Summer
2023-03-02,Delhi,0.0,43.3,46.0,38.4,48.0,16.8,Extreme Heat,Summer
2023-03-03,Delhi,0.0,44.9,49.8,42.3,33.6,15.5,Extreme Heat,Summer
2023-03-04,Delhi,0.0,43.6,47.4,40.2,44.1,11.4,Extreme Heat,Summer
2023-03-05,Delhi,0.5,35.3,39.1,30.3,42.6,7.5,Clear,Summer
2023-03-06,Delhi,0.0,37.4,41.9,34.1,40.3,5.8,Clear,Summer
2023-03-07,Delhi,0.0,37.8,42.3,34.2,37.3,15.1,Clear,Summer
2023-03-08,Delhi,0.0,41.9,45.0,39.9,41.3,6.3,Extreme Heat,Summer
2023-03-09,Delhi,0.0,43.5,47.4,38.5,38.8,11.9,Extreme Heat,Summer
2023-03-10,Delhi,0.0,36.8,40.1,32.7,33.8,7.3,Clear,Summer
2023-03-11,Delhi,0.0,41.0,43.9,38.3,40.3,15.6,Extreme Heat,Summer
2023-03-12,Delhi,0.0,37.6,41.7,33.3,41.7,5.7,Clear,Summer
2023-03-13,Delhi,0.0,37.6,40.9,35.3,50.0,14.9,Clear,Summer
2023-03-14,Delhi,0.0,42.5,45.5,40.0,35.3,9.2,Extreme Heat,Summer
2023-03-15,Delhi,0.1,41.6,46.1,36.6,45.9,16.9,Extreme Heat,Summer
2023-03-16,Delhi,0.0,39.9,43.9,36.6,48.7,12.0,Clear,Summer
2023-03-17,Delhi,0.0,35.0,38.5,30.6,37.7,6.3,Clear,Summer
2023-03-18,Delhi,0.0,41.9,46.3,37.8,32.8,16.3,Extreme Heat,Summer
2023-03-19,Delhi,0.0,40.8,45.2,38.3,39.6,8.6,Extreme Heat,Summer
2023-03-20,Delhi,0.0,39.0,43.8,36.8,38.1,12.0,Clear,Summer
