route_id,route_name,city,records,avg_delay,max_delay,total_trips,days_tracked
P,Purple Line,Chicago,731,1.33,2.75,92237,731
94,California,Chicago,731,1.33,2.76,89402,731
63,63rd,Chicago,731,1.32,2.73,92509,731
88,Higgins,Chicago,731,1.32,2.71,90165,731
126,Jackson,Chicago,731,1.32,2.7,90262,731
134,Stockton/LaSalle Express,Chicago,731,1.32,2.76,91576,731
146,Inner Lake Shore/Michigan Express,Chicago,731,1.32,2.7,90270,731
151,Sheridan,Chicago,731,1.32,2.62,90263,731
79,79th,Chicago,731,1.32,2.75,90470,731
30,South Chicago,Chicago,731,1.32,2.74,91808,731
8,Halsted,Chicago,731,1.32,2.78,88875,731
157,Streeterville/Taylor,Chicago,731,1.32,2.72,92455,731
81W,West Lawrence,Chicago,731,1.32,2.77,90534,731
84,Peterson,Chicago,731,1.32,2.78,90406,731
85,Spring Hill - Kendall/MIT Station,Boston,731,1.32,2.75,91278,731
201,Central/Ridge,Chicago,731,1.32,2.73,91582,731
53,Pulaski,Chicago,731,1.32,2.74,91747,731
Shuttle-BostonCollegePackardsCorner,Boston College - Packard's Corner,Boston,731,1.32,2.72,91412,731
8A,South Halsted,Chicago,731,1.32,2.71,90839,731
91,Austin,Chicago,731,1.32,2.75,91125,731
Shuttle-BackBayJackson,Jackson Square - Back Bay,Boston,731,1.32,2.64,90494,731
39,Pershing,Chicago,731,1.32,2.74,89742,731
Shuttle-AttleboroProvidenceExpress,Providence - Attleboro (Express),Boston,731,1.32,2.68,92185,731
99,Woodland Road - Wellington Station,Boston,731,1.32,2.73,89330,731
Shuttle-AndersonWoburnLowell,Lowell - Anderson/Woburn,Boston,731,1.32,2.74,89957,731
Blue,Blue Line,Chicago,731,1.32,2.72,90201,731
CapeFlyer,CapeFLYER,Boston,731,1.32,2.69,90079,731
72,North,Chicago,731,1.32,2.65,93147,731
456,"Salem Depot - Central Square, Lynn",Boston,731,1.32,2.65,90677,731
56,Milwaukee,Chicago,731,1.32,2.77,93061,731
71,71st/South Shore,Chicago,731,1.32,2.76,89243,731
106,East 103rd,Chicago,731,1.32,2.72,89730,731
110,Wonderland Station - Wellington Station,Boston,731,1.32,2.76,91901,731
115,Pullman/115th,Chicago,731,1.32,2.79,90725,731
55,Garfield,Chicago,731,1.32,2.71,91276,731
59,59th/61st,Chicago,731,1.32,2.73,89982,731
Shuttle-NorthBillericaLowell,Lowell - North Billerica,Boston,731,1.32,2.68,93663,731
111A,Pullman Shuttle,Chicago,731,1.32,2.74,91675,731
65,Grand,Chicago,731,1.32,2.75,89410,731
69,Harvard Square - Lechmere Station,Boston,731,1.32,2.72,91900,731
54B,South Cicero,Chicago,731,1.32,2.75,93220,731
558,Riverside Station - Newton Corner,Boston,731,1.32,2.7,91626,731
7,City Point - Otis Street & Summer Street,Boston,731,1.32,2.7,91863,731
54,Cicero,Chicago,731,1.32,2.77,89867,731
55N,55th/Narragansett,Chicago,731,1.32,2.69,92502,731
67,67th/69th/71st,Chicago,731,1.32,2.73,91695,731
68,Harvard Square - Kendall/MIT Station,Boston,731,1.31,2.73,90950,731
93,California/Dodge,Chicago,731,1.31,2.71,89677,731
93,Sullivan Square Station - Downtown via Bunker Hill Street,Boston,731,1.31,2.71,91772,731
96,Lunt,Chicago,731,1.31,2.58,89705,731
92,Foster,Chicago,731,1.31,2.77,92050,731
68,Northwest Highway,Chicago,731,1.31,2.78,92356,731
90,Harlem,Chicago,731,1.31,2.71,90466,731
95,West Medford or Arlington Center - Sullivan Square Station,Boston,731,1.31,2.61,91596,731
712,Point Shirley - Orient Heights Station via Revere Street,Boston,731,1.31,2.73,89784,731
96,Medford Square - Harvard Station,Boston,731,1.31,2.76,90294,731
97,Skokie,Chicago,731,1.31,2.6,90127,731
1,Bronzeville/Union Station,Chicago,731,1.31,2.77,92255,731
Blue,Blue Line,Boston,731,1.31,2.71,90147,731
66,Chicago,Chicago,731,1.31,2.72,90527,731
Boat-EastBoston,East Boston Ferry,Boston,731,1.31,2.67,92338,731
Boat-F1,Hingham/Hull Ferry,Boston,731,1.31,2.68,88194,731
Boat-F4,Charlestown Ferry,Boston,731,1.31,2.68,92324,731
CR-Fitchburg,Fitchburg Line,Boston,731,1.31,2.73,90722,731
CR-Greenbush,Greenbush Line,Boston,731,1.31,2.73,92888,731
CR-Needham,Needham Line,Boston,731,1.31,2.77,91734,731
CR-Providence,Providence/Stoughton Line,Boston,731,1.31,2.69,90000,731
63W,West 63rd,Chicago,731,1.31,2.73,91511,731
F,Queens Blvd Express/6 Av Local,New York,731,1.31,2.7,92170,731
67,Turkey Hill - Alewife Station,Boston,731,1.31,2.75,91475,731
87,Clarendon Hill or Arlington Center - Lechmere Station,Boston,731,1.31,2.68,91090,731
89,Clarendon Hill or Davis Station - Sullivan Square Station,Boston,731,1.31,2.72,91090,731
714,"Pemberton Point, Hull - Station Street, Hingham",Boston,731,1.31,2.69,89688,731
716,Cobbs Corner - Mattapan Station,Boston,731,1.31,2.69,88373,731
71,Watertown Square - Harvard Station,Boston,731,1.31,2.69,89900,731
73,Armitage,Chicago,731,1.31,2.7,89866,731
73,Waverley Square - Harvard Station,Boston,731,1.31,2.76,91087,731
74,Belmont Center - Harvard via Concord Avenue,Boston,731,1.31,2.68,93194,731
74,Fullerton,Chicago,731,1.31,2.68,88985,731
741,Logan Airport Terminals - South Station,Boston,731,1.31,2.75,92602,731
742,Design Center - South Station,Boston,731,1.31,2.65,88771,731
743,Chelsea Station - South Station,Boston,731,1.31,2.73,91335,731
75,74th/75th,Chicago,731,1.31,2.76,90927,731
751,Nubian Station - South Station,Boston,731,1.31,2.65,92583,731
77,Belmont,Chicago,731,1.31,2.77,89726,731
78,Montrose,Chicago,731,1.31,2.71,92470,731
708,Beth Israel Deaconess Hospital - Andrew Station,Boston,731,1.31,2.72,91479,731
80,Irving Park,Chicago,731,1.31,2.71,91919,731
81,Lawrence,Chicago,731,1.31,2.72,92070,731
70,Division,Chicago,731,1.31,2.71,90445,731
82,Kimball/Homan,Chicago,731,1.31,2.73,91321,731
83,"Rindge Avenue - Central Square, Cambridge",Boston,731,1.31,2.64,90024,731
7,Harrison,Chicago,731,1.31,2.7,91818,731
85,Central,Chicago,731,1.31,2.79,89958,731
85A,North Central,Chicago,731,1.31,2.64,91241,731
86,Harvard Square - Reservoir Station,Boston,731,1.31,2.75,91058,731
86,Narragansett/Ridgeland,Chicago,731,1.31,2.72,90878,731
87,87th,Chicago,731,1.31,2.77,91676,731
FS,Franklin Avenue Shuttle,New York,731,1.31,2.74,91212,731
1,Broadway - 7 Avenue Local,New York,731,1.31,2.67,90938,731
G,Green Line,Chicago,731,1.31,2.75,91182,731
Shuttle-LechmereNorthStation,Lechmere - North Station,Boston,731,1.31,2.78,91447,731
Shuttle-KenmoreReservoir,Reservoir - Kenmore,Boston,731,1.31,2.73,89673,731
Shuttle-KenmoreBackBayViaCopley,Kenmore - Back Bay via Copley (Shuttle),Boston,731,1.31,2.72,91429,731
Shuttle-JFKParkStreetViaPostOffice,JFK/UMass - Park Street via Post Office,Boston,731,1.31,2.75,90958,731
Shuttle-JFKNorthQuincy,North Quincy - JFK/UMass,Boston,731,1.31,2.69,92571,731
Shuttle-HeathPrudential,Heath Street - Prudential,Boston,731,1.31,2.76,92800,731
Shuttle-HaymarketAirportLocal,Haymarket - Airport (Local),Boston,731,1.31,2.76,90809,731
Shuttle-HaymarketAirportExpress,Haymarket - Airport (Express),Boston,731,1.31,2.7,94011,731
Shuttle-HaverhillReadingLocal,Haverhill - Reading (Local),Boston,731,1.31,2.69,90281,731
Shuttle-HaverhillReadingExpress,Haverhill - Reading (Express),Boston,731,1.31,2.67,90723,731
Shuttle-HarvardPark,Harvard - Park Street,Boston,731,1.31,2.76,92591,731
Shuttle-HarvardJFK,Harvard - JFK/UMass via Congress Street,Boston,731,1.31,2.77,90450,731
Shuttle-GovernmentCenterNorthStation,North Station - Government Center,Boston,731,1.31,2.72,91352,731
Shuttle-GovernmentCenterMedfordViaUnionSq,Medford/Tufts - Government Center via Union Square,Boston,731,1.31,2.75,91985,731
Shuttle-GovernmentCenterMedfordTufts,Government Center - Medford/Tufts (Shuttle),Boston,731,1.31,2.69,90443,731
Shuttle-FraminghamWorcester,Worcester - Framingham,Boston,731,1.31,2.71,92183,731
Shuttle-ForgeParkNorwoodCentral,Forge Park/495 - Norwood Central,Boston,731,1.31,2.77,90826,731
Shuttle-ForestHillsNeedhamHeights,Needham Heights - Forest Hills,Boston,731,1.31,2.68,92499,731
Shuttle-KenmoreStMarysRiverside,Riverside - Kenmore via Saint Mary's Street,Boston,731,1.31,2.66,90393,731
Shuttle-LynnSwampscott,Lynn - Swampscott,Boston,731,1.31,2.66,91268,731
Shuttle-EastSomervilleMedford,Medford/Tufts - East Somerville,Boston,731,1.31,2.63,92287,731
Shuttle-NewburyportSalemExpress,Newburyport - Salem (Express),Boston,731,1.31,2.72,90492,731
Y,Yellow Line,Chicago,731,1.31,2.71,93522,731
X9,Ashland Express,Chicago,731,1.31,2.68,93814,731
X49,Western Express,Chicago,731,1.31,2.75,93061,731
X4,Cottage Grove Express,Chicago,731,1.31,2.72,91985,731
Shuttle-TFGreenWickfordJunction,Wickford Junction - TF Green Airport,Boston,731,1.31,2.62,92524,731
Shuttle-StateSullivan,Sullivan Square - State,Boston,731,1.31,2.74,90340,731
Shuttle-SouthStationSouthWeymouth,South Weymouth - South Station,Boston,731,1.31,2.63,91126,731
Shuttle-ShirleyWachusett,Wachusett - Shirley,Boston,731,1.31,2.76,92848,731
Shuttle-RockportSalemLocal,Rockport - Salem (Local),Boston,731,1.31,2.72,90540,731
Shuttle-RiversideCopley,Riverside - Copley (Shuttle),Boston,731,1.31,2.62,91455,731
Shuttle-PawtucketProvidence,Providence - Pawtucket/Central Falls,Boston,731,1.31,2.78,91483,731
Shuttle-OrientHeightsWonderland,Wonderland - Orient Heights,Boston,731,1.31,2.76,90370,731
Shuttle-OakGroveRockportLimited,Rockport - Oak Grove (Limited),Boston,731,1.31,2.76,90601,731
Shuttle-NorthStationUnionSquare,Union Square - North Station,Boston,731,1.31,2.75,91202,731
Shuttle-NorthLeominsterWachusett,Wachusett - North Leominster,Boston,731,1.31,2.75,88141,731
Shuttle-NewtonHighlandsStMarysKenmore,Newton Highlands - Kenmore via Saint Mary's Street,Boston,731,1.31,2.71,92258,731
Shuttle-NewtonHighlandsKenmore,Newton Highlands - Kenmore,Boston,731,1.31,2.71,92005,731
Shuttle-FenwayReservoir,Reservoir - Fenway,Boston,731,1.31,2.76,91569,731
Shuttle-CopleyRuggles,Ruggles - Copley,Boston,731,1.31,2.68,91571,731
GS,42 St Shuttle,New York,731,1.31,2.68,90639,731
Shuttle-BabcockCopley,Babcock Street - Copley,Boston,731,1.31,2.77,88837,731
Shuttle-AttleboroProvidenceLocal,Providence - Attleboro (Local),Boston,731,1.31,2.75,93012,731
Shuttle-AshmontParkStreetViaPostOffice,Ashmont - Park Street via Post Office,Boston,731,1.31,2.71,90929,731
Shuttle-AshmontJFKUMass,Ashmont - JFK/UMass (Shuttle),Boston,731,1.31,2.68,91183,731
Shuttle-AshmontJFK,Ashmont - JFK/UMass,Boston,731,1.31,2.75,92373,731
Shuttle-AshmontBraintree,Ashmont - Braintree,Boston,731,1.31,2.69,90933,731
Shuttle-AshlandFramingham,Ashland - Framingham,Boston,731,1.31,2.73,89761,731
Shuttle-AlewifeDavis,Alewife - Davis,Boston,731,1.31,2.68,91665,731
Shuttle-AirportMaverick,Airport - Maverick,Boston,731,1.31,2.7,92194,731
Red,Red Line,Chicago,731,1.31,2.68,90208,731
Red,Red Line,Boston,731,1.31,2.77,90815,731
R,Broadway Local,New York,731,1.31,2.74,87986,731
62H,Archer/Harlem,Chicago,731,1.31,2.64,92417,731
Org,Orange Line,Chicago,731,1.31,2.78,91630,731
N5,South Shore Night Bus,Chicago,731,1.31,2.72,90012,731
N,Broadway Local,New York,731,1.31,2.64,92856,731
J14,Jeffery Jump,Chicago,731,1.31,2.69,91340,731
Green-E,Green Line E,Boston,731,1.31,2.7,90506,731
Shuttle-BabcockBostonCollege,Boston College - Babcock Street,Boston,731,1.31,2.71,93287,731
Shuttle-BackBayBostonLanding,Boston Landing - Back Bay,Boston,731,1.31,2.76,92168,731
Shuttle-CopleyRiversideExpress,Riverside - Copley (Express),Boston,731,1.31,2.7,89509,731
Shuttle-BackBayBostonUniversityEast,Boston University East - Back Bay,Boston,731,1.31,2.69,89712,731
Shuttle-CopleyKenmore,Kenmore - Copley,Boston,731,1.31,2.65,91376,731
Shuttle-CopleyJacksonSquare,Jackson Square - Copley,Boston,731,1.31,2.65,90992,731
Shuttle-ChelseaLynn,Lynn - Chelsea,Boston,731,1.31,2.72,93235,731
Shuttle-BrooklineHillsRiverside,Riverside - Brookline Hills,Boston,731,1.31,2.71,90956,731
Shuttle-BrooklineHillsReservoir,Reservoir - Brookline Hills,Boston,731,1.31,2.7,91306,731
Shuttle-BrooklineHillsKenmore,Brookline Hills - Kenmore,Boston,731,1.31,2.73,92441,731
Shuttle-BroadwayNorthQuincy,North Quincy - Broadway,Boston,731,1.31,2.72,90654,731
Shuttle-BroadwayKendall,Kendall/MIT - Broadway via Downtown Crossing,Boston,731,1.31,2.68,91365,731
Shuttle-BroadwayJFK,JFK/UMass - Broadway,Boston,731,1.31,2.67,90964,731
Shuttle-BraintreeSouthStationExpress,Braintree - South Station (Express),Boston,731,1.31,2.7,90758,731
Shuttle-BraintreeQuincyCenter,Braintree - Quincy Center,Boston,731,1.31,2.68,91050,731
Shuttle-BraintreeNorthQuincy,Braintree - North Quincy,Boston,731,1.31,2.71,91748,731
Shuttle-BostonCollegeWashington,Boston College - Washington Street,Boston,731,1.31,2.72,90354,731
Shuttle-BostonCollegeKenmore,Boston College - Kenmore,Boston,731,1.31,2.66,89869,731
Shuttle-BallardvaleMaldenCenter,Ballardvale - Malden Center,Boston,731,1.31,2.76,92421,731
Shuttle-BackBayWellesleyHillsLocal,Wellesley Hills - Back Bay (Local),Boston,731,1.31,2.71,89696,731
Shuttle-BackBayRuggles,Ruggles - Back Bay,Boston,731,1.31,2.61,91248,731
Pink,Pink Line,Chicago,731,1.31,2.74,89976,731
9,Ashland,Chicago,731,1.31,2.73,90193,731
135,Clarendon/LaSalle Express,Chicago,731,1.31,2.76,91673,731
16,Forest Hills Station - Andrew Station or Harbor Point,Boston,731,1.31,2.62,91704,731
156,LaSalle,Chicago,731,1.31,2.75,92709,731
155,Devon,Chicago,731,1.31,2.68,90034,731
3,King Drive,Chicago,731,1.31,2.72,91511,731
31,31st,Chicago,731,1.31,2.76,92279,731
31,Mattapan Station - Forest Hills Station via Morton Street,Boston,731,1.31,2.69,91148,731
15,Fields Corner Station - Ruggles Station,Boston,731,1.31,2.66,91935,731
34,South Michigan,Chicago,731,1.31,2.75,90266,731
147,Outer DuSable Lake Shore Express,Chicago,731,1.31,2.77,89318,731
137,Reading Depot - Malden Center Station,Boston,731,1.31,2.74,91617,731
136,Sheridan/LaSalle Express,Chicago,731,1.31,2.73,90757,731
125,Water Tower Express,Chicago,731,1.31,2.74,89469,731
36,Millennium Park or VA Hospital - Forest Hills Station,Boston,731,1.31,2.73,90762,731
37,Sedgwick,Chicago,731,1.31,2.71,90613,731
39,Forest Hills Station - Back Bay Station,Boston,731,1.31,2.72,89194,731
121,Wood Island Station - Maverick Station,Boston,731,1.31,2.76,89784,731
4,Cottage Grove,Chicago,731,1.31,2.73,91096,731
121,Union/Streeterville Express,Chicago,731,1.31,2.75,90605,731
120,Ogilvie/Streeterville Express,Chicago,731,1.31,2.69,91804,731
41,Centre Street & Eliot Street - JFK/UMass Station,Boston,731,1.31,2.57,92434,731
12,Roosevelt,Chicago,731,1.31,2.74,93803,731
42,Forest Hills Station - Nubian Station,Boston,731,1.31,2.7,91346,731
426,"Central Square, Lynn - Haymarket or Wonderland Station",Boston,731,1.31,2.77,91123,731
43,43rd,Chicago,731,1.31,2.73,91550,731
29,State,Chicago,731,1.31,2.73,89392,731
169,69th/UPS Express,Chicago,731,1.31,2.68,87642,731
44,Wallace/Racine,Chicago,731,1.31,2.68,91802,731
29,Mattapan Station - Jackson Square Station,Boston,731,1.31,2.73,91548,731
210,Quincy Center Station - Fields Corner Station,Boston,731,1.31,2.77,92229,731
206,Evanston Circulator,Chicago,731,1.31,2.7,90520,731
216,Houghs Neck - Quincy Center Station via Germantown,Boston,731,1.31,2.72,91824,731
217,Quincy Center Station - Ashmont Station via Wollaston Station,Boston,731,1.31,2.76,90441,731
202,Fields Corner Loop via Adams Street,Boston,731,1.31,2.69,93566,731
22,Clark,Chicago,731,1.31,2.68,91217,731
62,Archer,Chicago,731,1.31,2.73,90927,731
201,Fields Corner Loop via Neponset Ave,Boston,731,1.31,2.74,89858,731
20,Madison,Chicago,731,1.31,2.78,92484,731
225,Weymouth Landing - Quincy Center Station,Boston,731,1.31,2.75,90528,731
226,Columbian Square - Braintree Station,Boston,731,1.31,2.77,90105,731
23,Ashmont Station - Ruggles Station via Washington Street,Boston,731,1.31,2.7,89895,731
230,Montello Station - Quincy Center Station,Boston,731,1.31,2.68,91541,731
19,Fields Corner Station - Kenmore or Ruggles Station,Boston,731,1.31,2.72,93312,731
18,16th/18th,Chicago,731,1.31,2.7,90640,731
172,U. of Chicago/Kenwood,Chicago,731,1.31,2.73,91577,731
171,Logan Airport Terminals - Nubian Station,Boston,731,1.31,2.76,89883,731
24,Wentworth,Chicago,731,1.31,2.74,93181,731
240,Avon Square - Ashmont Station,Boston,731,1.31,2.76,89634,731
26,Ashmont Station - Norfolk Street Loop,Boston,731,1.31,2.69,93169,731
26,South Shore Express,Chicago,731,1.31,2.71,90128,731
17,Fields Corner Station - Andrew Station,Boston,731,1.31,2.73,89955,731
28,Stony Island,Chicago,731,1.31,2.72,92146,731
436,"Liberty Tree Mall - Central Square, Lynn via Goodwin Circle",Boston,731,1.31,2.77,91367,731
21,Cermak,Chicago,731,1.31,2.71,91146,731
556,Waltham Highlands - Newton Corner,Boston,731,1.31,2.67,91140,731
553,Roberts - Newton Corner,Boston,731,1.31,2.73,92920,731
57,Watertown Yard - Kenmore Station,Boston,731,1.31,2.69,88928,731
57,Laramie,Chicago,731,1.31,2.73,90811,731
101,Malden Center Station - Sullivan Square Station via Winter Hill,Boston,731,1.31,2.72,92500,731
48,South Damen,Chicago,731,1.31,2.76,90834,731
103,West 103rd,Chicago,731,1.31,2.73,89154,731
104,Malden Center Station - Airport Station,Boston,731,1.31,2.66,89631,731
55,West Fenway - Arlington Station,Boston,731,1.31,2.71,89848,731
455,Salem Depot - Wonderland Station,Boston,731,1.31,2.75,90088,731
49,Western,Chicago,731,1.31,2.74,90731,731
111,111th/King Drive,Chicago,731,1.31,2.78,91447,731
49B,North Western,Chicago,731,1.31,2.73,90868,731
108,Linden Square - Wellington Station,Boston,731,1.31,2.65,89788,731
52,Dedham Mall - Watertown Yard,Boston,731,1.31,2.75,92108,731
109,Linden Square - Harvard Square via Sullivan,Boston,731,1.31,2.75,90742,731
100,Jeffery Manor Express,Chicago,731,1.31,2.68,94394,731
11,Lincoln,Chicago,731,1.31,2.73,93062,731
442,Marblehead - Wonderland Station via Humphrey Street,Boston,731,1.31,2.63,90934,731
