date,records,avg_delay,avg_temp,avg_precipitation,avg_snowfall,total_trips
2023-01-01,498,1.39,45.4,0.18,2.13,62914
2023-01-02,498,1.2,60.45,0.19,0.17,60394
2023-01-03,498,2.27,30.49,1.17,6.37,62802
2023-01-04,498,1.99,34.93,0.53,3.36,61761
2023-01-05,498,2.23,25.94,1.17,7.83,62837
2023-01-06,498,1.42,53.5,1.14,0.55,63314
2023-01-07,498,1.32,43.81,0.45,2.98,61959
2023-01-08,498,1.65,35.2,1.23,6.32,62232
2023-01-09,498,2.24,31.42,1.38,3.58,62161
2023-01-10,498,1.7,30.91,1.62,2.29,61070
2023-01-11,498,1.29,64.35,0.77,0.0,62711
2023-01-12,498,1.6,49.6,0.78,0.62,61429
2023-01-13,498,0.92,54.22,0.0,0.0,62592
2023-01-14,498,0.94,56.51,0.0,0.0,59995
2023-01-15,498,1.79,38.7,1.63,2.87,62059
2023-01-16,498,1.73,33.09,0.65,3.43,61750
2023-01-17,498,1.93,31.64,1.52,7.59,61106
2023-01-18,498,1.18,48.9,0.3,0.43,61243
2023-01-19,498,1.32,47.09,0.22,1.18,63201
2023-01-20,498,1.26,43.22,0.17,2.08,61878
2023-01-21,498,1.66,31.99,0.77,4.89,63364
2023-01-22,498,1.18,42.11,0.43,0.23,63194
2023-01-23,498,2.0,31.24,1.29,7.4,62909
2023-01-24,498,1.26,52.66,0.57,2.74,61947
2023-01-25,498,1.36,48.89,0.55,0.26,63368
2023-01-26,498,1.62,39.45,0.99,1.7,61938
2023-01-27,498,1.37,57.9,1.15,0.0,61185
2023-01-28,498,1.74,29.25,0.44,2.59,59438
2023-01-29,498,1.5,45.15,0.5,1.02,61736
2023-01-30,498,2.02,37.44,1.08,3.28,61911
2023-01-31,498,1.32,38.9,0.52,1.26,61259
2023-02-01,498,1.63,36.81,1.2,1.53,63543
2023-02-02,498,2.01,33.84,0.97,2.36,63539
2023-02-03,498,1.16,50.29,0.11,0.0,61379
2023-02-04,498,1.27,56.01,0.27,2.63,62113
2023-02-05,498,1.48,62.62,0.6,0.0,61303
2023-02-06,498,1.36,60.52,0.8,0.0,62478
2023-02-07,498,1.25,62.28,0.43,0.0,62612
2023-02-08,498,1.38,43.86,0.83,0.0,62629
2023-02-09,498,1.93,31.93,1.04,5.41,61333
2023-02-10,498,1.38,48.17,0.42,1.98,62453
2023-02-11,498,1.28,41.41,0.42,0.16,62116
2023-02-12,498,2.28,23.71,1.05,5.08,60721
2023-02-13,498,2.25,31.07,1.25,8.25,62418
2023-02-14,498,1.25,55.06,0.39,0.18,60813
2023-02-15,498,1.0,60.55,0.0,0.0,62227
2023-02-16,498,1.07,48.38,0.03,0.0,62094
2023-02-17,498,1.32,53.46,0.5,2.77,62540
2023-02-18,498,1.15,59.01,0.29,0.0,61618
2023-02-19,498,1.73,39.4,0.59,2.72,61234
2023-02-20,498,2.27,23.32,1.48,4.86,61381
2023-02-21,498,1.96,24.49,1.63,6.29,61771
2023-02-22,498,1.82,35.77,1.3,6.15,61179
2023-02-23,498,1.39,46.09,0.24,2.24,61533
2023-02-24,498,2.19,32.87,1.07,5.77,61673
2023-02-25,498,1.01,66.01,0.12,0.0,64460
2023-02-26,498,1.56,35.74,1.17,2.0,62550
2023-02-27,498,0.98,59.74,0.0,0.0,61928
2023-02-28,498,1.48,46.65,0.4,1.28,63037
2023-03-01,498,1.43,59.24,0.98,0.0,62253
2023-03-02,498,2.05,31.5,0.52,6.64,62431
2023-03-03,498,1.22,62.52,0.58,0.0,64209
2023-03-04,498,1.03,55.96,0.11,0.0,64078
2023-03-05,498,1.03,46.68,0.0,0.0,61807
2023-03-06,498,1.18,52.33,0.15,0.0,61606
2023-03-07,498,1.18,48.86,0.26,0.0,62158
2023-03-08,498,1.27,60.57,0.1,0.0,61214
2023-03-09,498,1.63,42.26,0.56,5.84,61585
2023-03-10,498,1.33,51.54,0.4,0.0,59832
2023-03-11,498,1.38,55.82,1.09,0.0,61740
