month,records,avg_delay,avg_temp,total_precipitation,total_snowfall,total_trips
2023-01-01,15438,1.56,42.4,11653.92,39418.7,1921657
2023-02-01,13944,1.53,45.32,9253.35,30699.4,1738675
2023-03-01,15438,1.29,52.04,5985.27,11705.37,1926286
2023-04-01,14940,1.28,53.3,7816.13,7607.39,1865489
2023-05-01,15438,1.29,53.05,9533.84,4686.47,1925619
2023-06-01,14940,1.15,57.59,3704.85,0.0,1861890
2023-07-01,15438,1.13,53.85,3756.43,0.0,1922627
2023-08-01,15438,1.11,55.72,4288.52,0.0,1915348
2023-09-01,14940,1.25,50.49,6926.02,6958.53,1852365
2023-10-01,15438,1.26,53.95,5654.15,7493.81,1916873
2023-11-01,14940,1.19,52.66,6000.6,3916.37,1873247
2023-12-01,15438,1.56,43.1,10684.26,42087.49,1920835
2024-01-01,15438,1.64,40.11,12825.14,50022.7,1925439
2024-02-01,14442,1.61,42.42,9544.86,38837.55,1806557
2024-03-01,15438,1.3,52.69,7518.7,13665.22,1917517
2024-04-01,14940,1.21,54.94,6303.22,2693.41,1863870
2024-05-01,15438,1.24,53.09,7729.35,4644.75,1922032
2024-06-01,14940,1.14,57.33,4776.05,0.0,1858414
2024-07-01,15438,1.13,55.44,3673.56,0.0,1929945
2024-08-01,15438,1.16,56.77,5916.11,0.0,1922065
2024-09-01,14940,1.26,52.29,6345.05,11442.61,1873843
2024-10-01,15438,1.2,53.13,5256.14,9031.24,1921277
2024-11-01,14940,1.24,54.72,7707.69,8864.9,1855589
2024-12-01,15438,1.63,40.89,12165.44,39201.76,1924749
