weather_condition,route_id,route_name,city,avg_delay,occurrences
Clear,Shuttle-AttleboroProvidenceLocal,Providence - Attleboro (Local),Boston,1.04,317
Clear,Shuttle-HarvardJFK,Harvard - JFK/UMass via Congress Street,Boston,1.04,317
Clear,104,Malden Center Station - Airport Station,Boston,1.03,317
Clear,19,Fields Corner Station - Kenmore or Ruggles Station,Boston,1.03,317
Clear,240,Avon Square - Ashmont Station,Boston,1.03,317
Clear,39,Forest Hills Station - Back Bay Station,Boston,1.03,317
Clear,7,City Point - Otis Street & Summer Street,Boston,1.03,317
Clear,85,Spring Hill - Kendall/MIT Station,Boston,1.03,317
Clear,CR-Greenbush,Greenbush Line,Boston,1.03,317
Clear,Shuttle-BackBayJackson,Jackson Square - Back Bay,Boston,1.03,317
Clear,Shuttle-BrooklineHillsKenmore,Brookline Hills - Kenmore,Boston,1.03,317
Clear,Shuttle-NewtonHighlandsKenmore,Newton Highlands - Kenmore,Boston,1.03,317
Clear,Shuttle-NorthBillericaLowell,Lowell - North Billerica,Boston,1.03,317
Clear,Shuttle-StateSullivan,Sullivan Square - State,Boston,1.03,317
Clear,100,Elm Street - Wellington Station,Boston,1.02,317
Clear,108,Linden Square - Wellington Station,Boston,1.02,317
Clear,109,Linden Square - Harvard Square via Sullivan,Boston,1.02,317
Clear,112,Wellington Station - Wood Island Station,Boston,1.02,317
Clear,119,Northgate Shopping Center - Beachmont Station,Boston,1.02,317
Clear,132,Redstone Shopping Center - Malden Center Station,Boston,1.02,317
Clear,137,Reading Depot - Malden Center Station,Boston,1.02,317
Clear,15,Fields Corner Station - Ruggles Station,Boston,1.02,317
Clear,16,Forest Hills Station - Andrew Station or Harbor Point,Boston,1.02,317
Clear,17,Fields Corner Station - Andrew Station,Boston,1.02,317
Clear,201,Fields Corner Loop via Neponset Ave,Boston,1.02,317
Clear,202,Fields Corner Loop via Adams Street,Boston,1.02,317
Clear,210,Quincy Center Station - Fields Corner Station,Boston,1.02,317
Clear,217,Quincy Center Station - Ashmont Station via Wollaston Station,Boston,1.02,317
Clear,222,East Weymouth - Quincy Center Station,Boston,1.02,317
Clear,238,Holbrook/Randolph Station - Quincy Center Station,Boston,1.02,317
Clear,24,Wakefield Avenue & Truman Parkway - Ashmont Station,Boston,1.02,317
Clear,26,Ashmont Station - Norfolk Street Loop,Boston,1.02,317
Clear,34E,Walpole Center - Forest Hills Station,Boston,1.02,317
Clear,426,"Central Square, Lynn - Haymarket or Wonderland Station",Boston,1.02,317
Clear,43,Ruggles Station - Park Street Station,Boston,1.02,317
Clear,441442,Marblehead - Wonderland Station,Boston,1.02,317
Clear,442,Marblehead - Wonderland Station via Humphrey Street,Boston,1.02,317
Clear,45,Franklin Park - Ruggles Station,Boston,1.02,317
Clear,455,Salem Depot - Wonderland Station,Boston,1.02,317
Clear,456,"Salem Depot - Central Square, Lynn",Boston,1.02,317
Clear,50,Cleary Square - Forest Hills Station,Boston,1.02,317
Clear,52,Dedham Mall - Watertown Yard,Boston,1.02,317
Clear,54,Cicero,Chicago,1.02,320
Clear,55,West Fenway - Arlington Station,Boston,1.02,317
Clear,553,Roberts - Newton Corner,Boston,1.02,317
Clear,558,Riverside Station - Newton Corner,Boston,1.02,317
Clear,65,Grand,Chicago,1.02,320
Clear,708,Beth Israel Deaconess Hospital - Andrew Station,Boston,1.02,317
Clear,712,Point Shirley - Orient Heights Station via Revere Street,Boston,1.02,317
Clear,73,Waverley Square - Harvard Station,Boston,1.02,317
Clear,74,Belmont Center - Harvard via Concord Avenue,Boston,1.02,317
Clear,742,Design Center - South Station,Boston,1.02,317
Clear,743,Chelsea Station - South Station,Boston,1.02,317
Clear,749,Nubian Station - Temple Place,Boston,1.02,317
Clear,751,Nubian Station - South Station,Boston,1.02,317
Clear,79,79th,Chicago,1.02,320
Clear,87,Clarendon Hill or Arlington Center - Lechmere Station,Boston,1.02,317
Clear,88,Clarendon Hill - Lechmere Station,Boston,1.02,317
Clear,96,Medford Square - Harvard Station,Boston,1.02,317
Clear,99,Woodland Road - Wellington Station,Boston,1.02,317
Clear,CR-Kingston,Kingston Line,Boston,1.02,317
Clear,CR-Lowell,Lowell Line,Boston,1.02,317
Clear,CR-Providence,Providence/Stoughton Line,Boston,1.02,317
Clear,Green-C,Green Line C,Boston,1.02,317
Clear,Green-E,Green Line E,Boston,1.02,317
Clear,Shuttle-AlewifeHarvardViaBrattle,Alewife - Harvard via Brattle Street,Boston,1.02,317
Clear,Shuttle-AndersonWoburnLowell,Lowell - Anderson/Woburn,Boston,1.02,317
Clear,Shuttle-AshlandFramingham,Ashland - Framingham,Boston,1.02,317
